ID;Bedingung;Block;Frame;Framerate;Position;Rotation;Timestamp
2;VRbio;6;237;0,0024938;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,435261
2;VRbio;6;238;0,0024854;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,437739
2;VRbio;6;239;0,002814;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,44056
2;VRbio;6;240;0,0027066;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,443263
2;VRbio;6;241;0,00263;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,446198
2;VRbio;6;242;0,0028259;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,448893
2;VRbio;6;243;0,0026745;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,451401
2;VRbio;6;244;0,0028962;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,454293
2;VRbio;6;245;0,002552;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,456837
2;VRbio;6;246;0,0024997;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,459335
2;VRbio;6;247;0,0027514;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,462178
2;VRbio;6;248;0,0029734;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,465082
2;VRbio;6;249;0,0025404;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,467606
2;VRbio;6;250;0,0029755;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,470738
2;VRbio;6;251;0,0027844;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,473371
2;VRbio;6;252;0,003089;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,476463
2;VRbio;6;253;0,0028511;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,47931
2;VRbio;6;254;0,0054361;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,484751
2;VRbio;6;255;0,0028235;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,487573
2;VRbio;6;256;0,0025335;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,490365
2;VRbio;6;257;0,0027271;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,492821
2;VRbio;6;258;0,0027005;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,495544
2;VRbio;6;259;0,0027215;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,498255
2;VRbio;6;260;0,0025734;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,500823
2;VRbio;6;261;0,0025154;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,50334
2;VRbio;6;262;0,0024288;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,505767
2;VRbio;6;263;0,0027202;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,508487
2;VRbio;6;264;0,0025036;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,511138
2;VRbio;6;265;0,0028686;(18.2, 11.8, 31.9);(0.0, 270.0, 0.0);3,513856
